Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Close,Volume,Returns,excess_return
2012-11-01,0.78,0.46,-0.84,0.6,0.84,0.01,1416.1800537109375,71489310000,0.0028426724604567314,0.0027426724604567316
2012-12-01,1.18,1.89,3.51,-1.85,0.91,0.01,1426.18994140625,66388180000,0.0070433681007134085,0.006943368100713408
2013-01-01,5.57,0.48,0.96,-1.93,1.41,0.0,1498.1099853515625,75848510000,0.04919779199874611,0.04919779199874611
2013-02-01,1.29,-0.25,0.11,-0.67,0.52,0.0,1514.6800537109375,69273480000,0.010999927126354463,0.010999927126354463
2013-03-01,4.03,0.85,-0.19,0.14,1.38,0.0,1569.18994140625,68527110000,0.035355294329704884,0.035355294329704884
2013-04-01,1.55,-2.25,0.45,0.27,0.37,0.0,1597.5699462890625,77098000000,0.017924165836652507,0.017924165836652507
2013-05-01,2.8,2.06,2.63,-1.97,-0.87,0.0,1630.739990234375,76447250000,0.020550202383511563,0.020550202383511563
2013-06-01,-1.2,1.57,0.03,-0.38,0.0,0.0,1606.280029296875,74946790000,-0.015112928770280075,-0.015112928770280075
2013-07-01,5.65,1.81,0.57,-1.35,0.51,0.0,1685.72998046875,68106820000,0.04827772805178804,0.04827772805178804
2013-08-01,-2.71,-0.06,-2.69,0.66,-2.16,0.0,1632.969970703125,64802810000,-0.03179826803794541,-0.03179826803794541
2013-09-01,3.77,2.63,-1.22,-0.58,-1.36,0.0,1681.550048828125,66174410000,0.02931559136642498,0.02931559136642498
2013-10-01,4.18,-1.48,1.25,2.78,0.87,0.0,1756.5400390625,76647400000,0.04362997111283392,0.04362997111283392
2013-11-01,3.13,1.41,0.32,0.14,0.04,0.0,1805.81005859375,63628190000,0.02766328977323541,0.02766328977323541
2013-12-01,2.81,-0.45,-0.02,-0.46,0.09,0.0,1848.3599853515625,64958820000,0.0232894744820535,0.0232894744820535
2014-01-01,-3.32,0.58,-2.07,-3.88,-1.42,0.0,1782.5899658203125,75871910000,-0.0362314077760193,-0.0362314077760193
2014-02-01,4.65,0.14,-0.31,-0.23,-0.45,0.0,1859.449951171875,69725590000,0.042213375072275613,0.042213375072275613
2014-03-01,0.43,-1.09,4.93,2.13,1.92,0.0,1872.3399658203125,71885030000,0.006908248426944213,0.006908248426944213
2014-04-01,-0.19,-4.12,1.17,3.48,1.02,0.0,1883.949951171875,71595810000,0.0061816433655846855,0.0061816433655846855
2014-05-01,2.06,-1.89,-0.13,0.05,-1.0,0.0,1923.5699462890625,63623630000,0.020812196013358243,0.020812196013358243
